word,translation
versuchen,"to try, to attempt (often with an uncertain result)"
Jahr,"year (solar year, the time it takes the Earth to complete one orbit of the Sun)"
Wasser,water (H₂O)
gewesen,former
endlich,"finite, limited"
Schwester,sister
keiner,none
wenig,"little, few (a small amount, a small number)"
Tod,death
oben,above
Geschichte,history
erste,first
Alter,"age, old age"
kurz,"short, quick, brief"
niemals,never (at no time)
ah,expressing understanding
fünf,five (numerical value represented by the Arabic numeral 5
welche,some
hoch,"high, tall"
etwa,approximately
Land,country (territory of a nation)
stunden,to defer (due date
holen,"to (go) get, to fetch (to go somewhere and take something to bring back)"
schwer,"heavy, weighty"
verlassen,"to leave, to abandon"
anders,"different, differently"
gestern,yesterday
Wahrheit,truth
vier,four (numerical value represented by the Arabic numeral 4
mom,"gimme a sec, hold on"
Ort,"place, location, point, position"
Zimmer,"room (separate part of a building, enclosed by walls, a floor and a ceiling)"
während,while (at the same time as)
deshalb,therefore
Seite,side (a bounding straight edge of a two-dimensional shape)
Krieg,"war, warfare"
zeigen,"to show, make see"
gefallen,to please
Spiel,a game (instance or way of playing)
Woche,"week (period of seven days counting from Monday to Sunday, or from Sunday to Saturday)"
nett,nice
denen,"(to) whom, (to) which, that"
bestimmt,certain
zwischen,between
Wagen,a wheeled vehicle for transporting anything
Guter,nominalization of gut
Schatz,treasure
Schuld,debt
erzählen,"to tell, to narrate, to recount"
Spaß,fun
Tage,"period, that time of the month (female menstruation)"
manchmal,sometimes
Beste,best (female person)
Chance,chance
Entschuldigung,apology (expression of remorse or regret)
Anderes,nominalization of andere: the other / different thing
schlecht,"bad, evil, wicked (the opposite of good"
äh,an exclamation of disgust
ernst,"serious, severe, grave"
eben,"flat, smooth, even (of a surface)"
schlafen,to sleep
entschuldigen,to excuse (something or (formal) someone)
Bett,"bed (piece of furniture, usually flat and soft, for resting or sleeping on"
Wort,word as an isolated unit
Gesicht,face
Typ,type
unten,below
mensch,"one, they (indefinite third-person singular pronoun)"
Miss,Miss (form of address)
Kleiner,"boy, young man"
Teil,"part, piece (of a whole, often in relation to living things or an abstract concept)"
TU,"initialism of Technisch Universität, a university of technology."
trinken,"to drink (to drink liquids (in bottles, glasses, etc.) by mouth)"
Herz,heart
Papa,"dad, daddy"
stellen,"causative of stehen: to put, place, position (someone or something) such that it stands upright"
wichtig,"important, relevant, significant, weighty"
euer,your (addressing two or more people informally)
Blut,blood
Schule,school (an institution dedicated to teaching and learning (especially before university)
bloß,"mere, sole"
Wiedersehen,reunion
glücklich,happy
frei,free
Ding,thing
Arsch,"arse, posterior, buttocks"
oft,often
wohin,"where to, whither"
alt,old
Waffe,"weapon, arm"
Sorge,"concern, care, responsibility, aid"
fest,firm
Platz,"square, plaza, piazza"
Eltern,parents
kriegen,to get
daß,Formerly standard spelling of dass which was deprecated in the spelling reform (Rechtschreibreform) of 1996.
möglich,possible (what can be done or achieved)
drauf,high
falls,"if, in the event that"
irgendwie,somehow (in some unknown or unspecific manner)
jungen,to give birth
Alten,a surname
Nummer,number
wahrscheinlich,"likely, probable, plausible"
Dollar,dollar
ehrlich,"decent, honorable, honest"
hierher,"to here, here (to this place), hither"
setzen,to sit down
zuerst,"first, firstly"
falsch,"false, unfactual, untrue"
Menge,quantity
bereits,already
Hölle,hell
Pass,"pass, mountain pass"
außer,except
früher,"former, erstwhile, previous (that which once was, but no longer is)"
Rede,"speech, address"
gegeben,given
Telefon,telephone
Schiff,ship
früh,early
sondern,"rather, but (instead)."
Scheiß,shit (feces)
willkommen,welcome (received with gladness)
kaum,"barely, hardly (qualifying verbs or adjectives)"
Doktor,doctor
lieben,"to love, to have a strong affection for (someone or something)"
Fehler,"fault, error, mistake"
retten,"to save, to rescue"
Stunde,hour (unit of time consisting of 60 minutes)
dürfen,to be allowed (to do something)
sechs,six (numerical value represented by the Arabic numeral 6
plan,"planar, flat, level, smooth"
Hund,"dog, hound"
zehn,ten (numerical value represented in Arabic numerals as 10)
langsam,slow (taking a long time to move or travel
Film,film (a thin layer of some substance)
Ruf,"call, shout, cry"
geworden,"become, got"
schaffen,"to create, to call into being"
überall,everywhere
voll,full
Feuer,fire (chemical process)
Büro,office (room for working)
direkt,"direct, straight, without deviation or interruption"
Kumpel,miner
trotzdem,"anyhow, nevertheless"
Hm,abbreviation of Höhenmeter (“vertical meter”)
erinnern,to remind
lernen,"to learn, to acquire knowledge"
laufen,to walk
König,"king (monarch, chess, card games)"
new,obsolete spelling of neu
Tat,deed
nennen,to name (to give a name to)
aufhören,to listen up
deswegen,"therefore, because of that"
danach,"after it, after that"
verlieren,"to lose (something, or a game)"
Neues,nominalization of neues: something new
völlig,"complete, total, utter"
leider,unfortunately
Luft,"air, atmosphere"
Stelle,"location, spot (specific location in space, relevant in context but typically otherwise unmarked)"
ziehen,to pull
verschwinden,"to disappear, to vanish, to move out of view"
heiraten,to marry
groß,"big, large, large-scale"
gebracht,"brought, carried"
krank,"ill, sick (in bad health)"
Kaffee,coffee (beverage made by infusing coffee beans in hot water)
Straße,street
froh,glad
wert,"worth, worthy of"
rufen,"to call out, to shout, to cry (of a person or animal)"
Erde,earth
Suche,search
Buch,book (collection of sheets of paper bound together to hinge at one edge
Stück,"one, item, piece, unit(of something countable"
getroffen,"hit, struck, met"
tagen,to meet
nochmal,once again
nachdem,after (that)
Arzt,"doctor, physician (male or of unspecified gender) (without necessarily having a postgraduate degree)"
vertrauen,"to trust, to place confidence in"
drüben,over (implying some distance from the listener)
Himmel,sky
erklären,"to explain, to make clear"
interessiert,interested
irgendwo,somewhere
Nachricht,"news, piece of news, notification"
tja,"well, hmm"
Gutes,nominalization of gut: something good
Onkel,uncle
genauso,"just as, just the same"
geschafft,exhausted
Großer,great (referring to a male)
I,"The ninth letter of the German alphabet, written in the Latin script."
Licht,light (electromagnetic radiation in the visible spectrum)
Körper,"body (of a person, animal, etc.)"
kaufen,"to buy, to purchase"
weniger,less
Wahl,"choice, selection"
damals,at that time (in the past)
Rest,"rest, remainder, remnant"
Gefühl,feeling (either physical sensation or emotion)
zwar,"Signals a following contrary clause, which is usually introduced with aber (“but”), stressing that the speaker is aware of the contradiction, but that it does not invalidate the statement."
passieren,to happen
Schlüssel,a key
sitzen,to sit
weh,"sore, painful"
leicht,light (not heavy)
kümmern,"to take care, to look after"
gefragt,in demand
Zukunft,future
schauen,"to watch, to view (a movie or other performance)"
Party,party (social gathering)
total,"total, absolute, complete, utter (not used in the sense of “entire”)"
Opfer,sacrifice
Versuch,attempt
Gefängnis,"prison, jail (building)"
cool,cool (in its informal senses)
schreiben,"to write, to write out (use letters to make words and texts)"
vorsichtig,deliberate (not hasty or sudden)
o,O
wovon,"about what, what ... about"
großartig,"terrific, superb, etc."
Laut,any sound
vorstellen,"to introduce (someone), to present"
Sinn,sense
Schöne,nominalization of schön
sobald,"as soon as, by the time"
Krankenhaus,hospital
Wohnung,domicile
tragen,"to carry, to bear (something on one's person)"
Person,"person, individual"
böse,evil
Mist,manure (domestic animals’ excrement mixed with hay)
Michael,a male given name of common usage
super,"super, great, awesome"
stark,"strong (intense, powerful, unyielding)"
still,"quiet, silent"
Mund,mouth of a person
verletzt,"hurt, injured"
Boss,"boss (person in charge, supervisor)"
Boden,"ground, soil"
Sex,sex (sexual intercourse)
kämpfen,"to fight, to struggle"
fühlen,"to feel (a thing, sensation, emotion - a noun)"
außerdem,in addition
lustig,"funny, humorous"
ändern,"to change, to alter"
fliegen,to fly
klasse,"great, awesome"
solange,meanwhile
schicken,"to send, to dispatch (a person, letter, money etc. to a destination or a person)"
jemals,ever
stolz,proud
besonders,"especially, particularly"
Idiot,idiot
Sicherheit,certainty
eher,rather
umbringen,"to kill, to murder, to do away with"
wenigstens,at least
anrufen,"to call, to ring (by telephone or similar technology)"
Zeug,"stuff, gear, equipment"
gestorben,deceased (no longer alive)
ähm,Um
Hasse,synonym of Burenwurst
hart,hard
erwartet,"expected, anticipated"
heißen,to have a name
Mörder,"murderer, assassin, assassinator, killer, slayer (male or of unspecified gender)"
lachen,to laugh
A,"The first letter of the German alphabet, written in the Latin script."
führen,to lead
heraus,out of (in the direction of the speaker)
Stimme,"voice (speaking or singing), call of an animal"
geschehen,to occur
erfahren,"to find out, learn, to come to know"
Geschäft,"shop, store (establishment that sells goods or services to the public"
hinten,behind
Stand,"standing, state, status, position, situation"
acht,eight (numerical value represented by the Arabic numeral 8
Liebling,"darling, (my) dear"
mögen,to like (something or someone)
fallen,"to fall, to drop"
lesen,"to read (to look at and understand symbols, words, or data)"
frank,frank
Meinung,opinion
folgen,to follow (on the same path or in a sequence)
Schluss,"end, ending, conclusion, finish"
unglaublich,"unbelievable, incredible"
vorher,"beforehand, previously, before (a previously mentioned point or action)"
Verzeihung,forgiveness
Arschloch,arsehole
schlimm,"bad, terrible, serious (seriously bad), dire, horrible, awful"
aufs,"contraction of auf (“on”) + das (“the”) [with accusative] on the, upon the, onto the"
Peter,"a male given name, feminine equivalent Petra"
unmöglich,impossible
Kampf,"struggle, battle, campaign, fight"
laden,"to load (something) e.g. into a container or onto a vehicle, to load up"
Nähe,"nearness, closeness"
Team,team
Bild,"depiction, image, picture"
verdient,deserved
behalten,"to keep, to retain (money, items, etc. in one's possession)"
bitten,"to ask, to beg, to plead, to bid, to request"
tatsächlich,"actual, real, factual"
anfangen,to begin
Mord,murder
fort,away
perfekt,perfect
Tom,a male given name from English
sieben,seven (numerical value represented by the Arabic numeral 7
plötzlich,"suddenly, abruptly"
geschickt,"adept, habile, skillful, clever"
Tisch,table (a piece of furniture with a relatively deep surface at roughly waist or knee level)
liegen,to lie (to be in a horizontal position)
Antwort,answer
bezahlen,"to pay, give money"
gefährlich,"dangerous, hazardous"
Traum,dream
Auge,eye
General,general (officer in any general rank)
dumm,"dumb, stupid"
Hotel,hotel
verkaufen,to sell (something in exchange for money)
Ziel,target
obwohl,"although, though, while"
Ärger,"annoyance, anger"
Fenster,window
Handy,"mobile phone, mobile, cell phone, phone (portable, wireless telephone)"
Bewegung,motion
dagegen,"against it, against that"
nötig,necessary
gewinnen,to win
Max,an a popular diminutive of the male given name Maximilian
voller,full of
verheiratet,married (in a state of marriage
Rum,rum
neu,new
Mike,a male given name
welcher,which
Augenblick,"moment, instant, blink of an eye (very short period of time)"
komisch,"comedic, comic, pertaining to comedy"
Gefahr,"danger, hazard, peril, risk"
Entscheidung,decision
Meister,master
unterwegs,"on one’s way, underway, en route, in transit, going, travelling"
Leiche,"dead body, corpse, cadaver, carcass"
Zug,procession (larger group moving together along a common route)
ma,pronunciation spelling of mal
Chef,"boss, chief"
Gleiche,equality
Bier,beer (alcoholic beverage fermented from starch material
arm,poor (having little money)
Klappe,"flap, every technical or natural implement that is bound in front of something or a body part of someone or a beast to obstruct leakage or immissions in either direction and is removed under preintended conditions."
fangen,to catch (grab something flying in the air)
absolut,absolute
schlimmer,worse
Kamen,"a municipality of North Rhine-Westphalia, Germany"
Minute,minute (unit of time
zahlen,to pay
benutzen,to make use (of)
Anfang,"start, beginning, origin (spatially or temporally)"
Finger,finger
Zuhause,"one’s living premises, home"
legen,to lie down
weiss,Switzerland and Liechtenstein standard spelling of weiß
naja,well
regeln,to regulate
herum,"about, around."
rüber,over here
David,David
klein,"small, little, wee (in physical size or extent)"
wach,awake
irgendetwas,anything
Paris,Paris (the capital and largest city of France)
offen,open
schönen,to massage
tanzen,to dance
kalt,"cold, chilly"
Partner,"partner, associate (male or of unspecified gender)"
Reise,"journey, travel"
Dame,lady (woman of good breeding and manners)
Bescheid,"notification, information"
Raum,space
schießen,to shoot
Rolle,"roll, reel, spool"
Monat,"month (division of a year, usually one twelfth ≈ 30 days)"
nen,nonstandard form of 'n
müde,tired
schlagen,to beat
Informationen,lowdown
Lage,"location, position"
Hochzeit,"wedding, marriage (a ceremony in which people are married and/or a celebration thereof)"
ständig,"permanent, constant (without breaks)"
Weise,"way, manner"
gewonnen,"gained, won"
Richtung,direction
süß,sweet
heiß,hot (having a high temperature)
wozu,"for what reason, to what purpose, what for, why?"
Harry,a male given name
Lauf,"run, race"
Anwalt,"attorney, lawyer"
Agent,"agent (male or of unspecified gender) (intermediary for certain services, such as for artistic performances or public relations)"
Aller,a river in Germany
Paul,"a male given name from Latin, feminine equivalent Paula, Paulina, or Pauline, equivalent to English Paul"
gelernt,"skilled, trained"
wunderbar,wonderful
Beispiel,example
Weile,"while (uncertain duration of time, period of time)"
Vorsicht,"caution, cautiousness"
Seele,soul
selber,"self (as in myself, yourself, himself etc.)"
erledigt,completed
Ehre,honour
fürs,contraction of für (“for”) + das (“the”)
ansehen,"to look at, to have a look at (taking in information in doing so)"
Kraft,"power, force, strength"
links,on the left
herzen,"to hug, embrace"
bekannt,"known, familiar"
wofür,"for what, wherefore, why"
Boot,boat
darin,"in it, in that, therein"
Kontrolle,inspection
dahin,there (to or into that place
Rücken,back
Befehl,"command, order"
Sucht,addiction
bar,bare
hübsch,"pretty, handsome"
tief,deep (having a long distance to the bottom
Foto,photograph (picture created by projecting an image onto a photosensitive surface)
Brief,letter (written message)
verliebt,"in love, enamored"
irgendwann,"sometime, somewhen, anytime"
näher,"further, more precise or detailed"
Tasche,bag
Ehe,marriage (state of being married
Unfall,accident
Verbindung,connection
Geschenk,"present, gift"
jedenfalls,in any case
Punkt,dot (marking an abbreviation)
verschwunden,disappeared
hoffentlich,hopefully (it is hoped that)
schrecklich,"awful, terrible, horrible"
Geist,spirit
sowieso,"anyway, anyhow, in any case"
Professor,professor
Gold,"gold (chemical element, Au)"
zumindest,at least
beweisen,to prove
bisher,"so far, until now, as yet"
öffnen,to open (to make something accessible or allow for passage by moving from a shut position)
versteckt,hidden
unbedingt,absolute
Computer,"computer (programmable electronic device that performs mathematical calculations, logical operations, and usually also data retrieval/storage)"
sonne,"contraction of so eine (“such a”) (so, ein)"
reich,"rich, wealthy (having a lot of money and possessions)"
Hunger,hunger
Lady,"lady, Lady (British noblewoman)"
Preis,price
lügen,to tell a lie
Firma,"A company, a business."
normal,"ordinary, normal"
neben,"next to, beside, alongside, adjacent to, near, near to"
Wette,bet
Wunder,miracle
Pferd,horse
beschützen,"to protect, to guard, to defend"
Frieden,peace
erreichen,to reach (to attain by stretching)
Aussehen,"look, appearance"
verkauft,sold
erwarten,"to expect, to consider likely"
Haut,"skin, hide of a person, animal or (part of a) plant"
traurig,sad
seltsam,"strange, weird, odd, funny, curious"
Henry,henry (unit of electrical inductance)
Süße,sweetness
jung,young
Liste,list
Tolle,tuft (of hair)
Sekunde,A unit of time
tschüss,"bye, cheers, ciao"
Großes,nominalization of groß: something big
Karte,"card (flat, normally rectangular piece of stiff paper, plastic etc.)"
ans,contraction of an (“on(to)”) + das (“the”)
schade,"a pity, a shame"
Anruf,"a call upon, an appeal (e.g., to gods, a court, etc.)"
Letzter,the last one (male or of unspecified gender)
Beziehung,"relation, relationship, connection"
bewegen,to motivate
rechts,on the right
willen,only used in um … willen
wütend,"furious, angry"
persönlich,personal
Nachrichten,news
Präsident,president
muß,Formerly standard spelling of muss which was deprecated in the spelling reform (Rechtschreibreform) of 1996.
Madame,madam
Bleibe,"abode, accommodation, residence"
Witz,joke
Geburtstag,birthday
entfernt,distant
Untertitel,subheading
verraten,"to betray, to be disloyal to"
Möglichkeit,"possibility, likelihood"
Wein,wine
vermutlich,"suspected, presumable, assumed"
Bord,shelf (board fixed to the wall)
Nick,a diminutive of the male given name Nikolaus
Nase,nose
Bank,bench (which people sit on)
offensichtlich,obvious
Blick,"glance, look"
verändert,"changed, altered"
HAU,"acronym of Hebbel am Ufer, a theater company and various performance centers in Berlin, Germany"
Alex,"a male given name, equivalent to English Alex"
singen,to sing
Geheimnis,secret
beschäftigt,busy (engaged in an activity
Flugzeug,aeroplane
Fuß,foot (body part)
diesmal,this time
vermisst,missing (of unknown whereabouts)
Tante,aunt
ha,Expresses laughter.
Schlaf,sleep (condition of reduced consciousness)
Regierung,government/administration
sauer,sour
Armee,army (large tactical contingent consisting of several divisions)
Majestät,majesty
Kirche,church (building)
Drogen,drugs
Jesus,Jesus
Kontakt,contact
Ben,a diminutive of the male given name Benjamin
gegenüber,opposite
miteinander,together (with)
Hoffnung,"hope, the belief or expectation that something wished for can or will really happen."
wunderschön,"gorgeous, very beautiful"
ermordet,murdered
Schicksal,"destiny, fate (irresistible power that predetermines events)"
Stecken,stick
Schlag,"blow, hit"
Lust,desire
geliebt,loved
Gericht,court (of justice)
ran,"near, close to, over to"
kaputt,"destroyed, broken, out of order"
sauber,clean
nämlich,"(the) very same, selfsame (as was mentioned or described previously"
erhalten,"to receive (something given, sent, won, etc.)"
brachte,brought
Gesellschaft,company (presence of other people in general)
lieb,lovable
Zeichen,"sign, token (object representing something)"
übrigens,"apart from that, else, for the rest, for everything else"
interessant,interesting
gehören,"to belong to, be the property of"
Volk,"people, nation, folk, tribe, race (group united by culture, history, descent, and/or language)"
anderer,"other, different"
erledigen,"to free, to liberate, to release"
antworten,"to answer, to reply"
Überraschung,surprise
Tee,"tea (drink made by infusing parts of a plant, especially leaves or buds of Camellia sinensis, in water)"
soweit,as far as (in the scope in which something holds)
Schlampe,"unkempt woman, one who is lazy in grooming her body or her domestic environment"
besorgt,worried (thinking about unpleasant things that have happened or that might happen)
indem,by (indicates a means)
Achtung,attention
verstecken,to conceal
ewig,"eternal, everlasting"
Show,"show, spectacle"
Don,"Don (a river, the fifth-longest in Europe, in Tula, Lipetsk, Voronezh, Volgograd and Rostov Oblasts, Russia, flowing 1160 miles to the Sea of Azov)"
herausfinden,to find out
Weihnachten,Christmas
Sarah,Sarah
namens,"by the name of, named"
überleben,to survive
gelassen,calm
Heim,"home, one’s dwelling, the place where one is at home"
entweder,either (only with oder)
Sheriff,sheriff
Vergangenheit,the past (time)
Situation,"situation, circumstances"
weder,neither (only with noch)
Wald,forest
jawohl,yes
FBI,FBI (Federal Bureau of Investigation)
zuvor,"before, previously"
Besuch,"visit, call"
Amerika,"America, the Americas (a supercontinent consisting of North America, Central America and South America regarded as a whole"
Bob,a male given name from English
teilen,"to split, to share"
schuldig,"[with genitive] guilty (of), culpable"
Schwein,"swine, pig"
beginnen,to begin
Schritt,"step, footstep (a single instance of walking)"
Gebäude,"building, edifice, structure"
entscheiden,"to decide, to make a decision"
Hals,neck
Verstand,intellect
zweite,second
ungefähr,approximate
drinnen,inside (a room)
passen,to fit
herein,in (in the direction of the speaker)
Vergnügen,"joy, pleasure"
Schönes,nominalization of schön: something beautiful
Güte,"kindness, clemency"
übrig,"rest of, remaining"
überrascht,surprised
aufhalten,"to halt, to stop"
worauf,whereupon
Ehemann,"married man, husband"
besuchen,"to visit, to see"
Ganzes,whole
Brauch,custom
Insel,"an island, an isle"
Glas,glass
werfen,to throw
erkennen,"to recognize, perceive"
nervös,nervous (anxious)
verantwortlich,responsible
Königin,queen
Kamera,camera (device for taking photographs or filming)
